id,"City name",Categories,Title
116,"New York","North America>United States of America>New York","Is New York Tap Water Safe to Drink?"
118,"Sao Paulo","South America>Brazil","Is Sao Paulo Tap Water Safe to Drink?"
120,Taipei,Asia>Taiwan,"Is Taipei Tap Water Safe to Drink?"
122,"Kuala Lumpur",Asia>Malaysia,"Is Kuala Lumpur Tap Water Safe to Drink?"
124,Budapest,Europe>Hungary,"Is Budapest Tap Water Safe to Drink?"
126,Seoul,"Asia>South Korea","Is Seoul Tap Water Safe to Drink?"
129,Dubai,"Asia>United Arab Emirates","Is Dubai Tap Water Safe to Drink?"
131,"Hong Kong","Asia>Hong Kong","Is Hong Kong Tap Water Safe to Drink?"
135,"Buenos Aires","South America>Argentina","Is Buenos Aires Tap Water Safe to Drink?"
138,"Chiang Mai",Asia>Thailand,"Is Chiang Mai Tap Water Safe to Drink?"
140,London,"Europe>United Kingdom","Is London Tap Water Safe to Drink?"
142,Istanbul,Europe>Turkey,"Is Istanbul Tap Water Safe to Drink?"
144,"Canggu Bali",Asia>Indonesia,"Is Canggu Bali Tap Water Safe?"
146,"Mexico City","North America>Mexico","Is Mexico City Tap Water Safe to Drink?"
149,Singapore,Asia>Singapore,"Is Singapore Tap Water Safe to Drink?"
151,Barcelona,Europe>Spain,"Is Barcelona Tap Water Safe to Drink?"
154,Amsterdam,Europe>Netherlands,"Is Amsterdam Tap Water Safe to Drink?"
453,Paris,Europe>France,"Is Paris Tap Water Safe to Drink?"
469,"Honolulu County","North America>United States of America>Hawaii","Is Honolulu County Tap Water Safe to Drink?"
504,Milan,Europe>Italy,"Is Milan Tap Water Safe to Drink?"
540,Macau,Asia>Macao,"Is Macau Tap Water Safe to Drink?"
549,Prague,"Europe>Czech Republic","Is Prague Tap Water Safe to Drink?"
576,Tokyo,Asia>Japan,"Is Tokyo Tap Water Safe to Drink?"
582,Boracay,Asia>Philippines,"Is Boracay Tap Water Safe to Drink?"
587,Bangkok,Asia>Thailand,"Is Bangkok Tap Water Safe to Drink?"
735,Miami,"North America>United States of America>Florida","Is Miami Tap Water Safe to Drink?"
762,Cartagena,"South America>Colombia","Is Cartagena Tap Water Safe to Drink?"
771,Lima,"South America>Peru","Is Lima Tap Water Safe to Drink?"
801,Toronto,"North America>Canada","Is Toronto Tap Water Safe to Drink?"
831,Vienna,Europe>Austria,"Is Vienna Tap Water Safe to Drink?"
836,"Ho Chi Minh City",Asia>Vietnam,"Is Ho Chi Minh City Tap Water Safe to Drink?"
842,"Los Angeles","North America>United States of America>California","Is Los Angeles Tap Water Safe to Drink?"
851,Sofia,Europe>Bulgaria,"Is Sofia Tap Water Safe to Drink?"
859,Johannesburg,"Africa>South Africa","Is Johannesburg Tap Water Safe to Drink?"
866,Warsaw,Europe>Poland,"Is Warsaw Tap Water Safe to Drink?"
