id,Title,"City name",Categories
16252,"Is Zephyrhills Tap Water Safe to Drink?",Zephyrhills,"North America>United States of America>Florida"
16251,"Is Zapata Tap Water Safe to Drink?",Zapata,"North America>United States of America>Texas"
16253,"Is Zion Tap Water Safe to Drink?",Zion,"North America>United States of America>Illinois"
16246,"Is Yucaipa Tap Water Safe to Drink?",Yucaipa,"North America>United States of America>California"
16249,"Is Zachary Tap Water Safe to Drink?",Zachary,"North America>United States of America>Louisiana"
16247,"Is Yukon Tap Water Safe to Drink?",Yukon,"North America>United States of America>Oklahoma"
16248,"Is Yuma Tap Water Safe to Drink?",Yuma,"North America>United States of America>Arizona"
16250,"Is Zanesville Tap Water Safe to Drink?",Zanesville,"North America>United States of America>Ohio"
16244,"Is Yuba City Tap Water Safe to Drink?","Yuba City","North America>United States of America>California"
16245,"Is Yuba County Tap Water Safe to Drink?","Yuba County","North America>United States of America>California"
16243,"Is Ypsilanti Tap Water Safe to Drink?",Ypsilanti,"North America>United States of America>Michigan"
16239,"Is Yorkville Tap Water Safe to Drink?",Yorkville,"North America>United States of America>Illinois"
16242,"Is Youngsville Tap Water Safe to Drink?",Youngsville,"North America>United States of America>Louisiana"
16238,"Is Yorktown Tap Water Safe to Drink?",Yorktown,"North America>United States of America>New York"
16241,"Is Youngstown Tap Water Safe to Drink?",Youngstown,"North America>United States of America>Ohio"
16240,"Is Young Harris Tap Water Safe to Drink?","Young Harris","North America>United States of America>Georgia"
16235,"Is York Tap Water Safe to Drink?",York,"North America>United States of America>Maine"
16236,"Is York Tap Water Safe to Drink?",York,"North America>United States of America>Pennsylvania"
16234,"Is Yorba Linda Tap Water Safe to Drink?","Yorba Linda","North America>United States of America>California"
16237,"Is York Tap Water Safe to Drink?",York,"North America>United States of America>South Carolina"
16232,"Is Yazoo City Tap Water Safe to Drink?","Yazoo City","North America>United States of America>Mississippi"
16231,"Is Yarmouth Tap Water Safe to Drink?",Yarmouth,"North America>United States of America>Massachusetts"
16233,"Is Yonkers Tap Water Safe to Drink?",Yonkers,"North America>United States of America>New York"
16230,"Is Yardley Tap Water Safe to Drink?",Yardley,"North America>United States of America>Pennsylvania"
16226,"Is Xenia Tap Water Safe to Drink?",Xenia,"North America>United States of America>Ohio"
16228,"Is Yakima County Tap Water Safe to Drink?","Yakima County","North America>United States of America>Washington"
16227,"Is Yakima Tap Water Safe to Drink?",Yakima,"North America>United States of America>Washington"
16229,"Is Yankton Tap Water Safe to Drink?",Yankton,"North America>United States of America>South Dakota"
16225,"Is Wyoming Tap Water Safe to Drink?",Wyoming,"North America>United States of America>Michigan"
16222,"Is Wrentham Tap Water Safe to Drink?",Wrentham,"North America>United States of America>Massachusetts"
16221,"Is Worthington Tap Water Safe to Drink?",Worthington,"North America>United States of America>Minnesota"
16223,"Is Wyandotte Tap Water Safe to Drink?",Wyandotte,"North America>United States of America>Michigan"
16224,"Is Wylie Tap Water Safe to Drink?",Wylie,"North America>United States of America>Texas"
16218,"Is Woonsocket Tap Water Safe to Drink?",Woonsocket,"North America>United States of America>Rhode Island"
16219,"Is Worcester County Tap Water Safe to Drink?","Worcester County","North America>United States of America>Maryland"
16220,"Is Worth Tap Water Safe to Drink?",Worth,"North America>United States of America>Illinois"
16216,"Is Woodstock Tap Water Safe to Drink?",Woodstock,"North America>United States of America>Illinois"
16217,"Is Woodward Tap Water Safe to Drink?",Woodward,"North America>United States of America>Oklahoma"
16214,"Is Woodruff Tap Water Safe to Drink?",Woodruff,"North America>United States of America>South Carolina"
16215,"Is Woods Cross Tap Water Safe to Drink?","Woods Cross","North America>United States of America>Utah"
16210,"Is Woodhaven Tap Water Safe to Drink?",Woodhaven,"North America>United States of America>Michigan"
16213,"Is Woodridge Tap Water Safe to Drink?",Woodridge,"North America>United States of America>Illinois"
16212,"Is Woodland Tap Water Safe to Drink?",Woodland,"North America>United States of America>California"
16211,"Is Woodinville Tap Water Safe to Drink?",Woodinville,"North America>United States of America>Washington"
16209,"Is Woodbury City Tap Water Safe to Drink?","Woodbury City","North America>United States of America>New Jersey"
16206,"Is Woodburn Tap Water Safe to Drink?",Woodburn,"North America>United States of America>Oregon"
16208,"Is Woodbury Tap Water Safe to Drink?",Woodbury,"North America>United States of America>New York"
16207,"Is Woodbury Tap Water Safe to Drink?",Woodbury,"North America>United States of America>Minnesota"
16205,"Is Wood River Tap Water Safe to Drink?","Wood River","North America>United States of America>Illinois"
16202,"Is Woburn Tap Water Safe to Drink?",Woburn,"North America>United States of America>Massachusetts"
16203,"Is Wood County Tap Water Safe to Drink?","Wood County","North America>United States of America>Ohio"
16201,"Is Wise Tap Water Safe to Drink?",Wise,"North America>United States of America>Virginia"
16204,"Is Wood Dale Tap Water Safe to Drink?","Wood Dale","North America>United States of America>Illinois"
16198,"Is Winter Springs Tap Water Safe to Drink?","Winter Springs","North America>United States of America>Florida"
16199,"Is Winthrop Tap Water Safe to Drink?",Winthrop,"North America>United States of America>Massachusetts"
16200,"Is Wisconsin Rapids Tap Water Safe to Drink?","Wisconsin Rapids","North America>United States of America>Wisconsin"
16197,"Is Winter Pk/casselbery Tap Water Safe to Drink?","Winter Pk/casselbery","North America>United States of America>Florida"
16196,"Is Winter Park Tap Water Safe to Drink?","Winter Park","North America>United States of America>Florida"
16195,"Is Winter Haven Tap Water Safe to Drink?","Winter Haven","North America>United States of America>Florida"
16193,"Is Winslow Twp. Tap Water Safe to Drink?","Winslow Twp.","North America>United States of America>New Jersey"
16194,"Is Winter Garden Tap Water Safe to Drink?","Winter Garden","North America>United States of America>Florida"
16191,"Is Winnetka Tap Water Safe to Drink?",Winnetka,"North America>United States of America>Illinois"
16192,"Is Winona Tap Water Safe to Drink?",Winona,"North America>United States of America>Minnesota"
16190,"Is Winfield Tap Water Safe to Drink?",Winfield,"North America>United States of America>Kansas"
16188,"Is Windsor Tap Water Safe to Drink?",Windsor,"North America>United States of America>Colorado"
16189,"Is Windsor Tap Water Safe to Drink?",Windsor,"North America>United States of America>North Carolina"
16184,"Is Winchester Tap Water Safe to Drink?",Winchester,"North America>United States of America>Massachusetts"
16186,"Is Winder Tap Water Safe to Drink?",Winder,"North America>United States of America>Georgia"
16187,"Is Windsor Tap Water Safe to Drink?",Windsor,"North America>United States of America>California"
16185,"Is Winchester Tap Water Safe to Drink?",Winchester,"North America>United States of America>Tennessee"
16182,"Is Wilton Manors Tap Water Safe to Drink?","Wilton Manors","North America>United States of America>Florida"
16181,"Is Wilsonville Tap Water Safe to Drink?",Wilsonville,"North America>United States of America>Oregon"
16180,"Is Wilson Mills Tap Water Safe to Drink?","Wilson Mills","North America>United States of America>North Carolina"
16183,"Is Winchester Tap Water Safe to Drink?",Winchester,"North America>United States of America>Kentucky"
16178,"Is Wilson County Tap Water Safe to Drink?","Wilson County","North America>United States of America>Tennessee"
16176,"Is Wilmington Tap Water Safe to Drink?",Wilmington,"North America>United States of America>Ohio"
16179,"Is Wilson County Tap Water Safe to Drink?","Wilson County","North America>United States of America>Texas"
16177,"Is Wilson Tap Water Safe to Drink?",Wilson,"North America>United States of America>North Carolina"
16175,"Is Wilmington Tap Water Safe to Drink?",Wilmington,"North America>United States of America>Massachusetts"
16171,"Is Williston Park Tap Water Safe to Drink?","Williston Park","North America>United States of America>New York"
16172,"Is Willmar Tap Water Safe to Drink?",Willmar,"North America>United States of America>Minnesota"
16173,"Is Willowbrook Tap Water Safe to Drink?",Willowbrook,"North America>United States of America>California"
