"City name",Categories,Permalink,"Water Quality"
"New York","North America>United States of America>New York",https://www.canyoudrinktapwaterin.com/new-york-tap-water/,53
"Sao Paulo","South America>Brazil",https://www.canyoudrinktapwaterin.com/sao-paulo-tap-water/,25
Taipei,Asia>Taiwan,https://www.canyoudrinktapwaterin.com/taipei-tap-water/,55
"Kuala Lumpur",Asia>Malaysia,https://www.canyoudrinktapwaterin.com/kuala-lumpur-tap-water/,34
Budapest,Europe>Hungary,https://www.canyoudrinktapwaterin.com/budapest-tap-water/,67
Seoul,"Asia>South Korea",https://www.canyoudrinktapwaterin.com/seoul-tap-water/,64
Dubai,"Asia>United Arab Emirates",https://www.canyoudrinktapwaterin.com/dubai-tap-water/,60
"Hong Kong","Asia>Hong Kong",https://www.canyoudrinktapwaterin.com/hong-kong-tap-water/,47
"Buenos Aires","South America>Argentina",https://www.canyoudrinktapwaterin.com/buenos-aires-tap-water/,47
"Chiang Mai",Asia>Thailand,https://www.canyoudrinktapwaterin.com/chiang-mai-tap-water/,38
London,"Europe>United Kingdom",https://www.canyoudrinktapwaterin.com/london-tap-water/,46
Istanbul,Europe>Turkey,https://www.canyoudrinktapwaterin.com/istanbul-tap-water/,44
"Canggu Bali",Asia>Indonesia,https://www.canyoudrinktapwaterin.com/canggu-bali-tap-water/,0
"Mexico City","North America>Mexico",https://www.canyoudrinktapwaterin.com/mexico-city-tap-water/,29
Singapore,Asia>Singapore,https://www.canyoudrinktapwaterin.com/singapore-tap-water/,75
Barcelona,Europe>Spain,https://www.canyoudrinktapwaterin.com/barcelona-tap-water/,49
Amsterdam,Europe>Netherlands,https://www.canyoudrinktapwaterin.com/amsterdam-tap-water/,75
Paris,Europe>France,https://www.canyoudrinktapwaterin.com/paris-tap-water/,54
"Honolulu County","North America>United States of America>Hawaii",https://www.canyoudrinktapwaterin.com/honolulu-tap-water/,59
Milan,Europe>Italy,https://www.canyoudrinktapwaterin.com/milan-tap-water/,61
Macau,Asia>Macao,https://www.canyoudrinktapwaterin.com/macau-tap-water/,39
Prague,"Europe>Czech Republic",https://www.canyoudrinktapwaterin.com/prague-tap-water/,73
Tokyo,Asia>Japan,https://www.canyoudrinktapwaterin.com/tokyo-tap-water/,62
Boracay,Asia>Philippines,https://www.canyoudrinktapwaterin.com/boracay-tap-water/,80
Bangkok,Asia>Thailand,https://www.canyoudrinktapwaterin.com/bangkok-tap-water/,29
Miami,"North America>United States of America>Florida",https://www.canyoudrinktapwaterin.com/miami-tap-water/,52
Cartagena,"South America>Colombia",https://www.canyoudrinktapwaterin.com/cartagena-tap-water/,35
Lima,"South America>Peru",https://www.canyoudrinktapwaterin.com/lima-tap-water/,22
Toronto,"North America>Canada",https://www.canyoudrinktapwaterin.com/toronto-tap-water/,61
Vienna,Europe>Austria,https://www.canyoudrinktapwaterin.com/vienna-tap-water/,90
"Ho Chi Minh City",Asia>Vietnam,https://www.canyoudrinktapwaterin.com/ho-chi-minh-tap-water/,22
"Los Angeles","North America>United States of America>California",https://www.canyoudrinktapwaterin.com/los-angeles-tap-water/,40
Sofia,Europe>Bulgaria,https://www.canyoudrinktapwaterin.com/sofia-tap-water/,59
Johannesburg,"Africa>South Africa",https://www.canyoudrinktapwaterin.com/johannesburg-tap-water/,41
Warsaw,Europe>Poland,https://www.canyoudrinktapwaterin.com/warsaw-tap-water/,67
Berlin,Europe>Germany,https://www.canyoudrinktapwaterin.com/berlin-tap-water/,70
Mumbai,Asia>India,https://www.canyoudrinktapwaterin.com/mumbai-tap-water/,24
Dublin,Europe>Ireland,https://www.canyoudrinktapwaterin.com/dublin-tap-water/,0
Brussels,Europe>Belgium,https://www.canyoudrinktapwaterin.com/brussels-tap-water/,55
Sydney,Oceania>Australia,https://www.canyoudrinktapwaterin.com/sydney-tap-water/,70
Cairo,Africa>Egypt,https://www.canyoudrinktapwaterin.com/cairo-tap-water/,25
Bucharest,Europe>Romania,https://www.canyoudrinktapwaterin.com/bucharest-tap-water/,44
Zurich,Europe>Switzerland,https://www.canyoudrinktapwaterin.com/zurich-tap-water/,90
"Las Vegas","North America>United States of America>Nevada",https://www.canyoudrinktapwaterin.com/las-vegas-tap-water/,52
Marrakech,Africa>Morocco,https://www.canyoudrinktapwaterin.com/marrakesh-tap-water/,30
Shanghai,Asia>China,https://www.canyoudrinktapwaterin.com/shanghai-tap-water/,31
Venice,Europe>Italy,https://www.canyoudrinktapwaterin.com/venice-tap-water/,0
"Quebec City","North America>Canada",https://www.canyoudrinktapwaterin.com/quebec-city-tap-water/,50
Washington,"North America>United States of America>District of Columbia",https://www.canyoudrinktapwaterin.com/washington-dc-tap-water/,51
Melbourne,Oceania>Australia,https://www.canyoudrinktapwaterin.com/melbourne-tap-water/,0
Quito,"South America>Ecuador",https://www.canyoudrinktapwaterin.com/quito-tap-water/,45
"San Francisco","North America>United States of America>California",https://www.canyoudrinktapwaterin.com/san-francisco-tap-water/,60
"Cape Town","Africa>South Africa",https://www.canyoudrinktapwaterin.com/cape-town-tap-water/,50
Auckland,"Oceania>New Zealand",https://www.canyoudrinktapwaterin.com/auckland-tap-water/,59
,Home|Uncategorized,https://www.canyoudrinktapwaterin.com/by-continent/,
Santiago,"South America>Chile",https://www.canyoudrinktapwaterin.com/santiago-tap-water/,59
Caracas,"South America>Venezuela",https://www.canyoudrinktapwaterin.com/caracas-tap-water/,34
Brasilia,"South America>Brazil",https://www.canyoudrinktapwaterin.com/brasilia-tap-water/,59
Bogota,"South America>Colombia",https://www.canyoudrinktapwaterin.com/bogota-tap-water/,54
Guayaquil,"South America>Ecuador",https://www.canyoudrinktapwaterin.com/guayaquil-tap-water/,33
"Rio de Janeiro","South America>Brazil",https://www.canyoudrinktapwaterin.com/rio-de-janeiro-tap-water/,
Casablanca,Africa>Morocco,https://www.canyoudrinktapwaterin.com/casablanca-tap-water/,39
Lagos,Africa>Nigeria,https://www.canyoudrinktapwaterin.com/lagos-tap-water/,22
Durban,"Africa>South Africa",https://www.canyoudrinktapwaterin.com/durban-tap-water/,41
Nairobi,Africa>Kenya,https://www.canyoudrinktapwaterin.com/nairobi-tap-water/,16
