id,"Country name","City name","State abbreviation",Categories,Tags
116,,"New York",NY,"North America>United States of America>New York",
118,,"Sao Paulo",,"South America>Brazil",
120,,Taipei,,Asia>Taiwan,
122,,"Kuala Lumpur",,Asia>Malaysia,
124,,Budapest,,Europe>Hungary,
126,,Seoul,,"Asia>South Korea",
129,,Dubai,,"Asia>United Arab Emirates",
131,,"Hong Kong",,"Asia>Hong Kong",
135,,"Buenos Aires",,"South America>Argentina",
138,,"Chiang Mai",,Asia>Thailand,
140,,London,,"Europe>United Kingdom",
142,,Istanbul,,Europe>Turkey,
144,,"Canggu Bali",,Asia>Indonesia,
146,,"Mexico City",,"North America>Mexico",
149,,Singapore,,Asia>Singapore,
151,,Barcelona,,Europe>Spain,
154,,Amsterdam,,Europe>Netherlands,
453,,Paris,,Europe>France,
469,,"Honolulu County",HI,"North America>United States of America>Hawaii",
504,,Milan,,Europe>Italy,
540,,Macau,,Asia>Macao,
549,,Prague,,"Europe>Czech Republic",
576,,Tokyo,,Asia>Japan,
582,,Boracay,,Asia>Philippines,
587,,Bangkok,,Asia>Thailand,
735,,Miami,FL,"North America>United States of America>Florida",
762,,Cartagena,,"South America>Colombia",
771,,Lima,,"South America>Peru",
801,,Toronto,,"North America>Canada",
831,,Vienna,,Europe>Austria,
836,,"Ho Chi Minh City",,Asia>Vietnam,
842,,"Los Angeles",CA,"North America>United States of America>California",
851,,Sofia,,Europe>Bulgaria,
859,,Johannesburg,,"Africa>South Africa",
866,,Warsaw,,Europe>Poland,
872,,Berlin,,Europe>Germany,
879,,Mumbai,,Asia>India,
885,,Dublin,,Europe>Ireland,
899,,Brussels,,Europe>Belgium,
907,,Sydney,,Oceania>Australia,Australia
919,,Cairo,,Africa>Egypt,
972,,Bucharest,,Europe>Romania,
977,,Zurich,,Europe>Switzerland,
984,,"Las Vegas",NV,"North America>United States of America>Nevada",
989,,Marrakech,,Africa>Morocco,
1095,,Shanghai,,Asia>China,
1295,,Venice,,Europe>Italy,
1321,,"Quebec City",,"North America>Canada",
1326,,Washington,DC,"North America>United States of America>District of Columbia",
1369,,Melbourne,,Oceania>Australia,Australia
1400,,Quito,,"South America>Ecuador",
1405,,"San Francisco",CA,"North America>United States of America>California",
1409,,"Cape Town",,"Africa>South Africa",
1420,,Auckland,,"Oceania>New Zealand","New Zealand"
1656,,,,Home|Uncategorized,
2096,,Santiago,,"South America>Chile",
2107,,Caracas,,"South America>Venezuela",
2127,,Brasilia,,"South America>Brazil",
2134,,Bogota,,"South America>Colombia",
