id,Title,sources_0_source_link,_sources_0_source_link,"travellers notes",sources_source_link
1,"Table of Contents",,,,
3,"Privacy Policy",,,,
635,"Contact Us",,,,
1765,"Tap Water Safety in Africa (Continent)",,,,
1778,"Tap Water Safety in Asia (Continent)",,,,
1780,"Tap Water Safety in Europe (Continent)",,,,
1866,"Tap Water Safety in North America (Continent)",,,,
1869,"Tap Water Safety in South America (Continent)",,,,
1874,"Tap Water Safety in Oceania (Continent)",,,,
3886,"Tap Water Safety in Bangladesh",,,,
4209,"Can You Drink Tap Water In...?",,,,
5012,"Tap Water Safety in Afghanistan",,,,
5013,"Tap Water Safety in Albania",https://www.lonelyplanet.com/albania/health,field_5e8f1aba62913,"Drinking water is generally safe, and is delicious in the mountains, but check with locals first. Many locals in bigger cities prefer to drink bottled water.",https://www.lonelyplanet.com/albania/health
5014,"Tap Water Safety in Algeria",,,,
5015,"Tap Water Safety in American Samoa",,,,
5016,"Tap Water Safety in Andorra",https://www.lonelyplanet.com/andorra/health,field_5e8f1aba62913,"You can drink tap water in Andorra.",https://www.lonelyplanet.com/andorra/health
5017,"Tap Water Safety in Angola",,,,
5018,"Tap Water Safety in Anguilla",,,,
5019,"Tap Water Safety in Antigua and Barbuda",,,,
5020,"Tap Water Safety in Argentina",,,,
5021,"Tap Water Safety in Armenia",,,,
5022,"Tap Water Safety in Aruba",,,,
5023,"Tap Water Safety in Australia",,,,
5024,"Tap Water Safety in Austria",https://www.lonelyplanet.com/austria/health,field_5e8f1aba62913,"Tap water in Austria is perfectly safe to drink – and it's actually of a very high standard in many mountainous parts of the country. Don't expect it to be free in restaurants, however; bottled water (either still or sparkling) is the norm.",https://www.lonelyplanet.com/austria/health
5025,"Tap Water Safety in Azerbaijan",https://www.lonelyplanet.com/azerbaijan/health,field_5e8f1aba62913,"Tap water is generally safe to drink in most of the region, though in Baku and the lowland areas of Azerbaijan, you're better off with bottled purified water, which is easily available. If you aren't sure of your tap water's quality, boil tap water for 10 minutes, use water purification tablets, or use a filter.",https://www.lonelyplanet.com/azerbaijan/health
5026,"Tap Water Safety in Bahamas",,,,
5027,"Tap Water Safety in Bahrain",,,,
5029,"Tap Water Safety in Barbados",,,,
5030,"Tap Water Safety in Belarus",https://www.lonelyplanet.com/belarus/health,field_5e8f1aba62913,"The tap water in Belarus is generally fine to drink, but it's always safer to drink bottled water. Do your part for the environment by bringing your own bottle and filling it up at hotels, restaurants or wherever you can.",https://www.lonelyplanet.com/belarus/health
5031,"Tap Water Safety in Belgium",https://www.lonelyplanet.com/belgium/health,field_5e8f1aba62913,"Tap water is almost always fine to drink, though restaurants will sometimes deny this as an excuse for insisting on serving mineral water.",https://www.lonelyplanet.com/belgium/health
5032,"Tap Water Safety in Belize",,,,
5033,"Tap Water Safety in Benin",,,,
5034,"Tap Water Safety in Bermuda",,,,
5035,"Tap Water Safety in Bhutan",,,,
5036,"Tap Water Safety in Bolivia",,,,
5037,"Tap Water Safety in Bosnia and Herzegovina",https://www.lonelyplanet.com/bosnia-and-hercegovina/health,field_5e8f1aba62913,"Tap water is generally drinkable throughout the country.",https://www.lonelyplanet.com/bosnia-and-hercegovina/health
5038,"Tap Water Safety in Botswana",,,,
5039,"Tap Water Safety in Brazil",,,,
5040,"Tap Water Safety in British Virgin Islands",,,,
5041,"Tap Water Safety in Brunei",,,,
5042,"Tap Water Safety in Bulgaria",https://www.lonelyplanet.com/bulgaria/health,field_5e8f1aba62913,"Bulgarian tap water is generally safe and drinkable but may have an odd taste. Bottled mineral water is widely available and cheap.",https://www.lonelyplanet.com/bulgaria/health
5043,"Tap Water Safety in Burkina Faso",,,,
5044,"Tap Water Safety in Burundi",,,,
5045,"Tap Water Safety in Cabo Verde",,,,
5046,"Tap Water Safety in Cambodia",,,,
5047,"Tap Water Safety in Cameroon",,,,
5048,"Tap Water Safety in Canada",,,,
5049,"Tap Water Safety in the Caribbean Netherlands",,,,
5050,"Tap Water Safety in the Cayman Islands",,,,
5051,"Tap Water Safety in the Central African Republic",,,,
5052,"Tap Water Safety in Chad",,,,
5053,"Tap Water Safety in the Channel Islands",,,,
5054,"Tap Water Safety in Chile",,,,
