post_id,city_name,post_status,_wp_page_template,post_category,post_title,ewg_utility_name,ewg_description,ewg_people,ewg_source,ewg_exceed_number,ewg_total_number,ewg_date,ewg_data_source,ewg_exceed,ewg_other
6656,Evansville,publish,usacitypage.php,"North America,United States of America,Indiana",Is Evansville Tap Water Safe to Drink?,Evansville Water Utility,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Indiana Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,173000,https://www.ewg.org/tapwater/system.php?pws=IN5282002,5,14,2012-2017,Surface water,"Chromium (hexavalent),Nitrate,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","1%2C4-Dioxane,2%2C4-D,Atrazine,Chlorate,Fluoride,Haloacetic acids (HAA5),Molybdenum,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Everett,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Everett Tap Water Safe to Drink?,Everett Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,42101,https://www.ewg.org/tapwater/system.php?pws=MA3093000,6,17,2012-2017,Purchased surface water,"Bromodichloromethane*,Chloroform*,Dibromochloromethane*,Dichloroacetic acid*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs)*,,,,,,,,,,,,,,","Aluminum*,Barium*,Bromide*,Chlorate,Fluoride*,Haloacetic acids (HAA5)*,Manganese*,Monochloroacetic acid*,Nitrate*,Strontium,Trichloroacetic acid*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6657,Everett,publish,usacitypage.php,"North America,United States of America,Washington",Is Everett Tap Water Safe to Drink?,City of Everett Public Works Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,103000,https://www.ewg.org/tapwater/system.php?pws=WA5324050,6,18,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","4-Androstene-3%2C17-dione,Aluminum,Barium,Chlorate,Fluoride,Haloacetic acids (HAA5),Manganese,Monochloroacetic acid,Nitrate,Nitrite,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Evergreen,publish,usacitypage.php,"North America,United States of America,Colorado",Is Evergreen Tap Water Safe to Drink?,Evergreen MD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Colorado Department of Public Health & Environment%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,13500,https://www.ewg.org/tapwater/system.php?pws=CO0130030,2,8,2012-2017,Surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Barium,Fluoride,Haloacetic acids (HAA5),Nitrate,Radium%2C combined (-226 & -228),Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Evergreen Park,publish,usacitypage.php,"North America,United States of America,Illinois",Is Evergreen Park Tap Water Safe to Drink?,Evergreen Park,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Illinois Environmental Protection Agency%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,20821,https://www.ewg.org/tapwater/system.php?pws=IL0310840,10,21,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate*,Nitrate and nitrite*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,","4-Androstene-3%2C17-dione*,Barium*,Chromium (total)*,Dibromoacetic acid,Fluoride*,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Strontium,Testosterone*,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Evesham Twp.,publish,usacitypage.php,"North America,United States of America,New Jersey",Is Evesham Twp. Tap Water Safe to Drink?,Evesham MUA,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Jersey Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,45538,https://www.ewg.org/tapwater/system.php?pws=NJ0313001,9,25,2012-2017,Purchased surface water,"Arsenic,Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,","Barium,Bromoform,Chlorate,Chromium (total),Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Monochloroacetic acid,Nitrate,Nitrate and nitrite,Nitrite,Selenium,Silver,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Excelsior Spgs.,publish,usacitypage.php,"North America,United States of America,Missouri",Is Excelsior Spgs. Tap Water Safe to Drink?,Excelsior Springs,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Missouri Department of Natural Resources - Public Drinking Water Program%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,11084,https://www.ewg.org/tapwater/system.php?pws=MO1010261,7,21,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,","Barium,Bromochloroacetic acid,Bromodichloroacetic acid,Chlorodibromoacetic acid,Chromium (total),Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Nitrate and nitrite,Strontium,Tribromoacetic acid,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Exeter,publish,usacitypage.php,"North America,United States of America,California",Is Exeter Tap Water Safe to Drink?,City of Exeter,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,10539,https://www.ewg.org/tapwater/system.php?pws=CA5410003,6,16,2012-2017,Groundwater,"1%2C2-Dibromo-3-chloropropane (DBCP),Arsenic,Chromium (hexavalent),Nitrate,Total trihalomethanes (TTHMs),Uranium,,,,,,,,,,,,,,","Barium,Bromoform,Chlorate,Dibromoacetic acid,Dibromochloromethane,Fluoride,Manganese,Molybdenum,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Exeter,publish,usacitypage.php,"North America,United States of America,New Hampshire",Is Exeter Tap Water Safe to Drink?,Exeter Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Hampshire Department of Environmental Services%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,11000,https://www.ewg.org/tapwater/system.php?pws=NH0801010,8,23,2012-2017,Surface water,"Arsenic,Bromodichloromethane,Chloroform,Dibromochloromethane,Dichloroacetic acid,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Barium,Bromoform,Chlorate,Chromium (hexavalent),cis-1%2C2-Dichloroethylene,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Molybdenum,Monochloroacetic acid,Nitrate,Strontium,Uranium,Xylenes (total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fair Haven Boro,publish,usacitypage.php,"North America,United States of America,New Jersey",Is Fair Haven Boro Tap Water Safe to Drink?,Red Bank Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Jersey Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,12520,https://www.ewg.org/tapwater/system.php?pws=NJ1340001,0,6,2012-2017,Purchased surface water,",,,,,,,,,,,,,,,,,,,","1%2C1-Dichloroethane,Bromochloromethane,Chlorate,Chloromethane,Chromium (hexavalent),Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
